Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Provider,Category,Population,Fast Food Density
5294,Burger King 1332 S. John B. Dennis Hwy,36.505981,-82.555668,"1332 S John B Dennis Hwy, Kingsport, TN, 37660",1332 S John B Dennis Hwy,Kingsport,TN,37660,Sullivan,Burger King,Food Chains,159265.0,0.0009606630458669514
3982,Burger King 2011 8th Ave S,36.133439,-86.779616,"2011 8th Ave S, Nashville, TN, 37204",2011 8th Ave S,Nashville,TN,37204,Davidson,Burger King,Food Chains,703953.0,0.000869376222560313
6910,Burger King 10180 Dayton Pike,35.254688,-85.181463,"10180 Dayton Pike, Soddy Daisy, TN, 37379",10180 Dayton Pike,Soddy Daisy,TN,37379,Hamilton,Burger King,Food Chains,369135.0,0.00093732645238192
1065,Burger King 7216 South Chapman Highway,35.910318,-83.850925,"7216 South Chapman Highway, Knoxville, TN, 37920",7216 South Chapman Highway,Knoxville,TN,37920,Knox,Burger King,Food Chains,486677.0,0.0008321741113716079
7152,Burger King 1501 Charlotte Avenue,36.159566,-86.795397,"1501 Charlotte Avenue, Nashville, TN, 37203",1501 Charlotte Avenue,Nashville,TN,37203,Davidson,Burger King,Food Chains,703953.0,0.000869376222560313
60690,Burger King 2090 Wilma Rudolph Blvd,36.562748,-87.313485,"2090 Wilma Rudolph Blvd, Clarksville, TN, 37040",2090 Wilma Rudolph Blvd,Clarksville,TN,37040,Montgomery,Burger King,Food Chains,227900.0,0.0007591048705572619
13270,Burger King 3910 Trenton Rd,36.626347,-87.318407,"3910 Trenton Rd, Clarksville, TN, 37040",3910 Trenton Rd,Clarksville,TN,37040,Montgomery,Burger King,Food Chains,227900.0,0.0007591048705572619
7312,Burger King 13011 Old Hickory Blvd,36.014709,-86.618513,"13011 Old Hickory Blvd, Antioch, TN, 37013",13011 Old Hickory Blvd,Antioch,TN,37013,Davidson,Burger King,Food Chains,703953.0,0.000869376222560313
1447,Burger King 6404 Ringgold Road,34.989437,-85.210423,"6404 Ringgold Road, Chattanooga, TN, 37412",6404 Ringgold Road,Chattanooga,TN,37412,Hamilton,Burger King,Food Chains,369135.0,0.00093732645238192
77297,Burger King 711 E Emory Rd,36.05375,-83.988925,"711 E Emory Rd, Powell, TN, 37849",711 E Emory Rd,Powell,TN,37849,Knox,Burger King,Food Chains,486677.0,0.0008321741113716079
63021,Burger King 9615 Kroger Park Dr,35.86132,-84.06967,"9615 Kroger Park Dr, Knoxville, TN, 37922",9615 Kroger Park Dr,Knoxville,TN,37922,Knox,Burger King,Food Chains,486677.0,0.0008321741113716079
624,Burger King 1985 East Brooks Road,35.060256,-89.997842,"1985 East Brooks Road, Memphis, TN, 38116",1985 East Brooks Road,Memphis,TN,38116,Shelby,Burger King,Food Chains,924454.0,0.0007680209074761967
9887,Burger King 6236 Lee Hwy./ Perimeter Place,35.030628,-85.184104,"6236 Lee Hwy/ Perimeter Place, Chattanooga, TN, 37421",6236 Lee Hwy/ Perimeter Place,Chattanooga,TN,37421,Hamilton,Burger King,Food Chains,369135.0,0.00093732645238192
2997,Burger King 2119 East 23rd Street,35.018594,-85.280437,"2119 East 23rd Street, Chattanooga, TN, 37404",2119 East 23rd Street,Chattanooga,TN,37404,Hamilton,Burger King,Food Chains,369135.0,0.00093732645238192
3532,Burger King 11547 Lebanon Road,36.231398,-86.518956,"11547 Lebanon Road, Mount Juliet, TN, 37122",11547 Lebanon Road,Mount Juliet,TN,37122,Wilson,Burger King,Food Chains,151917.0,0.0008754780570969674
6858,Burger King 6428 East Shelby Road,35.020666,-89.849283,"6428 East Shelby Road, Memphis, TN, 38141",6428 East Shelby Road,Memphis,TN,38141,Shelby,Burger King,Food Chains,924454.0,0.0007680209074761967
2233,Burger King 1209 North Eastman Road,36.531702,-82.528754,"1209 North Eastman Road, Kingsport, TN, 37664",1209 North Eastman Road,Kingsport,TN,37664,Sullivan,Burger King,Food Chains,159265.0,0.0009606630458669514
2185,Burger King 728 Gallatin Road,36.185557,-86.747664,"728 Gallatin Road, Nashville, TN, 37206",728 Gallatin Road,Nashville,TN,37206,Davidson,Burger King,Food Chains,703953.0,0.000869376222560313
4075,Burger King 2388 Lebanon Pike,36.169407,-86.684145,"2388 Lebanon Pike, Nashville, TN, 37214",2388 Lebanon Pike,Nashville,TN,37214,Davidson,Burger King,Food Chains,703953.0,0.000869376222560313
4138,Burger King 6869 Winchester,35.048733,-89.834969,"6869 Winchester, Memphis, TN, 38115",6869 Winchester,Memphis,TN,38115,Shelby,Burger King,Food Chains,924454.0,0.0007680209074761967
1482,Burger King 5300 Hickory Hollow Parkway,36.047484,-86.655139,"5300 Hickory Hollow Parkway, Antioch, TN, 37013",5300 Hickory Hollow Parkway,Antioch,TN,37013,Davidson,Burger King,Food Chains,703953.0,0.000869376222560313
7274,Burger King 1920 Kirby-Whitten Parkway,35.178456,-89.835866,"1920 Kirby-Whitten Parkway, Memphis, TN, 38134",1920 Kirby-Whitten Parkway,Memphis,TN,38134,Shelby,Burger King,Food Chains,924454.0,0.0007680209074761967
4911,Burger King 615 Watt Road,35.873431,-84.237183,"615 Watt Road, Farragut, TN, 37934",615 Watt Road,Farragut,TN,37934,Knox,Burger King,Food Chains,486677.0,0.0008321741113716079
1195,Burger King 2615 West State Street,36.594928,-82.213435,"2615 West State Street, Bristol, TN, 37620",2615 West State Street,Bristol,TN,37620,Sullivan,Burger King,Food Chains,159265.0,0.0009606630458669514
76466,Burger King 833 Industrial Blvd,35.978389,-86.569067,"833 Industrial Blvd, Smyrna, TN, 37167",833 Industrial Blvd,Smyrna,TN,37167,Rutherford,Burger King,Food Chains,352182.0,0.0008319562044624654
7004,Burger King 127 Northshore Drive,35.934301,-84.003199,"127 Northshore Drive, Knoxville, TN, 37919",127 Northshore Drive,Knoxville,TN,37919,Knox,Burger King,Food Chains,486677.0,0.0008321741113716079
1182,Burger King 247 East Main Street,36.309279,-86.601235,"247 East Main Street, Hendersonville, TN, 37075",247 East Main Street,Hendersonville,TN,37075,Sumner,Burger King,Food Chains,200557.0,0.0007080281416255728
2367,Burger King 3089 Wilma Rudolp Boulevard,36.596733,-87.285135,"3089 Wilma Rudolp Boulevard, Clarksville, TN, 37040",3089 Wilma Rudolp Boulevard,Clarksville,TN,37040,Montgomery,Burger King,Food Chains,227900.0,0.0007591048705572619
6129,Burger King 5605 Little Debbie Parkway,35.084199,-85.064536,"5605 Little Debbie Parkway, Ooltewah, TN, 37363",5605 Little Debbie Parkway,Ooltewah,TN,37363,Hamilton,Burger King,Food Chains,369135.0,0.00093732645238192
4225,Burger King 6700 Stage Road,35.205088,-89.839936,"6700 Stage Road, Memphis, TN, 38134",6700 Stage Road,Memphis,TN,38134,Shelby,Burger King,Food Chains,924454.0,0.0007680209074761967
72197,Burger King 4883 Port Royal Rd,35.741383,-86.893849,"4883 Port Royal Rd, Spring Hill, TN, 37174",4883 Port Royal Rd,Spring Hill,TN,37174,Williamson,Burger King,Food Chains,255735.0,0.0009345611668328544
6807,Burger King 1330 Poplar Avenue,35.144238,-90.016345,"1330 Poplar Avenue, Memphis, TN, 38104",1330 Poplar Avenue,Memphis,TN,38104,Shelby,Burger King,Food Chains,924454.0,0.0007680209074761967
4413,Burger King 3966 Park Avenue,35.108033,-89.930328,"3966 Park Avenue, Memphis, TN, 38111",3966 Park Avenue,Memphis,TN,38111,Shelby,Burger King,Food Chains,924454.0,0.0007680209074761967
2914,Burger King 2884 Hickory Hill Road,35.069649,-89.865113,"2884 Hickory Hill Road, Memphis, TN, 38115",2884 Hickory Hill Road,Memphis,TN,38115,Shelby,Burger King,Food Chains,924454.0,0.0007680209074761967
6868,Burger King 2641 North Holywood,35.197268,-89.976097,"2641 North Holywood, Memphis, TN, 38127",2641 North Holywood,Memphis,TN,38127,Shelby,Burger King,Food Chains,924454.0,0.0007680209074761967
7875,Burger King 1605 Schaeffer Drive,35.936442,-84.145254,"1605 Schaeffer Drive, Knoxville, TN, 37932",1605 Schaeffer Drive,Knoxville,TN,37932,Knox,Burger King,Food Chains,486677.0,0.0008321741113716079
2992,Burger King 319 Merchants Road,36.008217,-83.975871,"319 Merchants Road, Knoxville, TN, 37912",319 Merchants Road,Knoxville,TN,37912,Knox,Burger King,Food Chains,486677.0,0.0008321741113716079
4181,Burger King 5320 Charlotte Avenue,36.15188,-86.852286,"5320 Charlotte Avenue, Nashville, TN, 37209",5320 Charlotte Avenue,Nashville,TN,37209,Davidson,Burger King,Food Chains,703953.0,0.000869376222560313
1829,Burger King 5305 Winchester Road,35.049893,-89.886769,"5305 Winchester Road, Memphis, TN, 38118",5305 Winchester Road,Memphis,TN,38118,Shelby,Burger King,Food Chains,924454.0,0.0007680209074761967
10433,Burger King 4827 Hixson Pike,35.127124,-85.247236,"4827 Hixson Pike, Hixson, TN, 37343",4827 Hixson Pike,Hixson,TN,37343,Hamilton,Burger King,Food Chains,369135.0,0.00093732645238192
,Jack In The Box Nashville,36.14965,-86.858421,"5615 Charlotte Pike, Nashville, TN, 37209",5615 Charlotte Pike,Nashville,TN,37209,Davidson,Jack In The Box,Food Chains,703953.0,0.000869376222560313
,Jack In The Box Hermitage,36.174389,-86.601748,"5656 Old Hickory Blvd, Hermitage, TN, 37076",5656 Old Hickory Blvd,Hermitage,TN,37076,Davidson,Jack In The Box,Food Chains,703953.0,0.000869376222560313
,Jack In The Box Clarksville,36.553817,-87.396643,"40 Dover Crossing Rd, Clarksville, TN, 37042",40 Dover Crossing Rd,Clarksville,TN,37042,Montgomery,Jack In The Box,Food Chains,227900.0,0.0007591048705572619
,Jack In The Box Nashville,36.269685,-86.756004,"3900 Dickerson Pike, Nashville, TN, 37207",3900 Dickerson Pike,Nashville,TN,37207,Davidson,Jack In The Box,Food Chains,703953.0,0.000869376222560313
32735,Twin Peaks Chattanooga,34.9946,-85.20268,"500 Camp Jordan Parkway, Chattanooga, TN, 37412",500 Camp Jordan Parkway,Chattanooga,TN,37412,Hamilton,Twin Peaks,Food Chains,369135.0,0.00093732645238192
1051,Twin Peaks Knoxville,35.9345521,-84.0034596,"135 N Northshore Dr, Knoxville, TN, 37919",135 N Northshore Dr,Knoxville,TN,37919,Knox,Twin Peaks,Food Chains,486677.0,0.0008321741113716079
1028,Twin Peaks Cool Springs,35.9675888,-86.8094404,"1634 Galleria Blvd, Brentwood, TN, 37027",1634 Galleria Blvd,Brentwood,TN,37027,Williamson,Twin Peaks,Food Chains,255735.0,0.0009345611668328544
30332,Twin Peaks Madison,36.30369,-86.68972,"2151 Gallatin Pike North, Madison, TN, 37115",2151 Gallatin Pike North,Madison,TN,37115,Davidson,Twin Peaks,Food Chains,703953.0,0.000869376222560313
1646,Nashville Sobro,36.15771,-86.774746,"308 4th Avenue South, Nashville, TN, 37201",308 4th Avenue South,Nashville,TN,37201,Davidson,Corner Bakery Cafe,Food Chains,703953.0,0.000869376222560313
036396,Taco Bell Lebanon,36.18801214,-86.41188102,"6705 Eastgate Boulevard, Lebanon, TN, 37090",6705 Eastgate Boulevard,Lebanon,TN,37090,Wilson,Taco Bell,Food Chains,151917.0,0.0008754780570969674
3003,Memphis - Wolfchase Galleria,35.203514,-89.791379,"2830 N Germantown Pkwy, Memphis, TN, 38133",2830 N Germantown Pkwy,Memphis,TN,38133,Shelby,Bahama Breeze,Food Chains,924454.0,0.0007680209074761967
2550,Sonic Drive-In 3804 Summer Avenue,35.14964101,-89.93422599,"3804 Summer Avenue, Memphis, TN, 38122",3804 Summer Avenue,Memphis,TN,38122,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
2164,Sonic Drive-In 4352 Lebanon Road,36.20748501,-86.61255898,"4352 Lebanon Road, Hermitage, TN, 37076",4352 Lebanon Road,Hermitage,TN,37076,Davidson,Sonicdrivein,Food Chains,703953.0,0.000869376222560313
3704,Sonic Drive-In 7230 Nolensville Road,35.96074701,-86.67302402,"7230 Nolensville Road, Nolensville, TN, 37135",7230 Nolensville Road,Nolensville,TN,37135,Williamson,Sonicdrivein,Food Chains,255735.0,0.0009345611668328544
2315,Sonic Drive-In 4515 Chapman Hwy,35.931975,-83.90345101,"4515 Chapman Hwy, Knoxville, TN, 37920",4515 Chapman Hwy,Knoxville,TN,37920,Knox,Sonicdrivein,Food Chains,486677.0,0.0008321741113716079
2546,Sonic Drive-In 1500 Getwell Road,35.09044202,-89.93067299,"1500 Getwell Road, Memphis, TN, 38111",1500 Getwell Road,Memphis,TN,38111,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
3453,Sonic Drive-In 1505 Murfreesboro Road,35.91387398,-86.82063504,"1505 Murfreesboro Road, Franklin, TN, 37068",1505 Murfreesboro Road,Franklin,TN,37068,Williamson,Sonicdrivein,Food Chains,255735.0,0.0009345611668328544
6397,Sonic Drive-In 2083 Lascassas Pike,35.87466298,-86.35352196,"2083 Lascassas Pike, Murfreesboro, TN, 37130",2083 Lascassas Pike,Murfreesboro,TN,37130,Rutherford,Sonicdrivein,Food Chains,352182.0,0.0008319562044624654
2421,Sonic Drive-In 5210 Murfreesboro Road,36.01841702,-86.57176996,"5210 Murfreesboro Road, La Vergne, TN, 37086",5210 Murfreesboro Road,La Vergne,TN,37086,Rutherford,Sonicdrivein,Food Chains,352182.0,0.0008319562044624654
4193,Sonic Drive-In 1718 Carouthers Parkway,35.96369665,-86.80044742,"1718 Carouthers Parkway, Brentwood, TN, 37027",1718 Carouthers Parkway,Brentwood,TN,37027,Williamson,Sonicdrivein,Food Chains,255735.0,0.0009345611668328544
4997,Sonic Drive-In 7636 Us Highway 70 North,35.23112602,-89.80902802,"7636 Us Highway 70 North, Memphis, TN, 38133",7636 Us Highway 70 North,Memphis,TN,38133,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
4789,Sonic Drive-In 2742 Schaad Road,36.00464999,-84.01961204,"2742 Schaad Road, Knoxville, TN, 37921",2742 Schaad Road,Knoxville,TN,37921,Knox,Sonicdrivein,Food Chains,486677.0,0.0008321741113716079
5753,Sonic Drive-In 8475 Kingston Pike,35.922297,-84.06289996,"8475 Kingston Pike, Knoxville, TN, 37919",8475 Kingston Pike,Knoxville,TN,37919,Knox,Sonicdrivein,Food Chains,486677.0,0.0008321741113716079
2746,Sonic Drive-In 403 S. Broadway Street,36.57521679,-86.51392324,"403 S Broadway Street, Portland, TN, 37148",403 S Broadway Street,Portland,TN,37148,Sumner,Sonicdrivein,Food Chains,200557.0,0.0007080281416255728
4515,Sonic Drive-In 1103 Battlewood Dr,35.99740401,-86.885043,"1103 Battlewood Dr, Franklin, TN, 37069",1103 Battlewood Dr,Franklin,TN,37069,Williamson,Sonicdrivein,Food Chains,255735.0,0.0009345611668328544
3679,Sonic Drive-In 1918 North Memorial Blvd,35.87571499,-86.384678,"1918 North Memorial Blvd, Murfreesboro, TN, 37129",1918 North Memorial Blvd,Murfreesboro,TN,37129,Rutherford,Sonicdrivein,Food Chains,352182.0,0.0008319562044624654
6625,Sonic Drive-In 3021 Captain Freeman Parkway,35.86174299,-86.84408198,"3021 Captain Freeman Parkway, Franklin, TN, 37064",3021 Captain Freeman Parkway,Franklin,TN,37064,Williamson,Sonicdrivein,Food Chains,255735.0,0.0009345611668328544
5445,Sonic Drive-In 3790 S. Houston Levee Road,35.04554,-89.73193898,"3790 S Houston Levee Road, Collierville, TN, 38017",3790 S Houston Levee Road,Collierville,TN,38017,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
6053,Sonic Drive-In 5003 Millertown Pike,36.028071,-83.874182,"5003 Millertown Pike, Knoxville, TN, 37917",5003 Millertown Pike,Knoxville,TN,37917,Knox,Sonicdrivein,Food Chains,486677.0,0.0008321741113716079
4925,Sonic Drive-In 5921 Ooltewah-Ringgold Road,35.08179902,-85.05936802,"5921 Ooltewah-Ringgold Road, Ooltewah, TN, 37363",5921 Ooltewah-Ringgold Road,Ooltewah,TN,37363,Hamilton,Sonicdrivein,Food Chains,369135.0,0.00093732645238192
2984,Sonic Drive-In 5404 Main Street,35.746163,-86.935377,"5404 Main Street, Spring Hill, TN, 37174",5404 Main Street,Spring Hill,TN,37174,Williamson,Sonicdrivein,Food Chains,255735.0,0.0009345611668328544
3503,Sonic Drive-In 2219 Madison Street,36.50979901,-87.27622399,"2219 Madison Street, Clarksville, TN, 37043",2219 Madison Street,Clarksville,TN,37043,Montgomery,Sonicdrivein,Food Chains,227900.0,0.0007591048705572619
2625,Sonic Drive-In 2312 Dickerson Pike,36.20807799,-86.76804798,"2312 Dickerson Pike, Nashville, TN, 37207",2312 Dickerson Pike,Nashville,TN,37207,Davidson,Sonicdrivein,Food Chains,703953.0,0.000869376222560313
2226,Sonic Drive-In 279 New Shackle Island Road (New Shackle Island Rd & Iris Dr),36.31917955,-86.62420901,"279 New Shackle Island Road (New Shackle Island Rd & Iris Dr), Hendersonville, TN, 37075",279 New Shackle Island Road (New Shackle Island Rd & Iris Dr),Hendersonville,TN,37075,Sumner,Sonicdrivein,Food Chains,200557.0,0.0007080281416255728
1697,Sonic Drive-In 1015 Volunteer Parkway,36.57266601,-82.192246,"1015 Volunteer Parkway, Bristol, TN, 37625",1015 Volunteer Parkway,Bristol,TN,37625,Sullivan,Sonicdrivein,Food Chains,159265.0,0.0009606630458669514
2219,Sonic Drive-In 6949 Maynardville Highway,36.074018,-83.92829397,"6949 Maynardville Highway, Knoxville, TN, 37918",6949 Maynardville Highway,Knoxville,TN,37918,Knox,Sonicdrivein,Food Chains,486677.0,0.0008321741113716079
2136,Sonic Drive-In 136 Long Hollow Pike,36.323143,-86.70978696,"136 Long Hollow Pike, Goodlettsville, TN, 37072",136 Long Hollow Pike,Goodlettsville,TN,37072,Davidson,Sonicdrivein,Food Chains,703953.0,0.000869376222560313
2473,Sonic Drive-In 1311 N.W. Broad Street,35.86396499,-86.410132,"1311 Nw Broad Street, Murfreesboro, TN, 37129",1311 Nw Broad Street,Murfreesboro,TN,37129,Rutherford,Sonicdrivein,Food Chains,352182.0,0.0008319562044624654
2540,Sonic Drive-In 3285 Shelby Drive,35.02036,-89.95416,"3285 Shelby Drive, Memphis, TN, 38118",3285 Shelby Drive,Memphis,TN,38118,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
5662,Sonic Drive-In 1889 Almaville Road,35.93151701,-86.533322,"1889 Almaville Road, Smyrna, TN, 37167",1889 Almaville Road,Smyrna,TN,37167,Rutherford,Sonicdrivein,Food Chains,352182.0,0.0008319562044624654
5289,Sonic Drive-In 1761 Wilma Rudolph Boulevard,36.55201501,-87.32617997,"1761 Wilma Rudolph Boulevard, Clarksville, TN, 37042",1761 Wilma Rudolph Boulevard,Clarksville,TN,37042,Montgomery,Sonicdrivein,Food Chains,227900.0,0.0007591048705572619
3413,Sonic Drive-In 9696 Highway 64,35.20556499,-89.73890502,"9696 Highway 64, Arlington, TN, 38002",9696 Highway 64,Arlington,TN,38002,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
2012,Sonic Drive-In 401 Hillsboro Road,35.92884218,-86.87520787,"401 Hillsboro Road, Franklin, TN, 37064",401 Hillsboro Road,Franklin,TN,37064,Williamson,Sonicdrivein,Food Chains,255735.0,0.0009345611668328544
3504,Sonic Drive-In 1970 Fort Campbell Blvd,36.59261699,-87.41757901,"1970 Fort Campbell Blvd, Clarksville, TN, 37042",1970 Fort Campbell Blvd,Clarksville,TN,37042,Montgomery,Sonicdrivein,Food Chains,227900.0,0.0007591048705572619
2567,Sonic Drive-In 4130 Kirby Parkway,35.03588601,-89.84708798,"4130 Kirby Parkway, Memphis, TN, 38115",4130 Kirby Parkway,Memphis,TN,38115,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
2631,Sonic Drive-In 3115 Clarksville Pike,36.19279099,-86.83061,"3115 Clarksville Pike, Nashville, TN, 37209",3115 Clarksville Pike,Nashville,TN,37209,Davidson,Sonicdrivein,Food Chains,703953.0,0.000869376222560313
2584,Sonic Drive-In 2460 Poplar Avenue,35.13927,-89.97850197,"2460 Poplar Avenue, Memphis, TN, 38112",2460 Poplar Avenue,Memphis,TN,38112,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
2537,Sonic Drive-In 3685 Mendenhall Road South,35.047914,-89.88667202,"3685 Mendenhall Road South, Memphis, TN, 38115",3685 Mendenhall Road South,Memphis,TN,38115,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
1917,Sonic Drive-In 414 Donelson Pike,36.15474901,-86.66579396,"414 Donelson Pike, Nashville, TN, 37214",414 Donelson Pike,Nashville,TN,37214,Davidson,Sonicdrivein,Food Chains,703953.0,0.000869376222560313
1046,Sonic Drive-In 6915 Shallowford Road,35.04475901,-85.16104796,"6915 Shallowford Road, Chattanooga, TN, 37421",6915 Shallowford Road,Chattanooga,TN,37421,Hamilton,Sonicdrivein,Food Chains,369135.0,0.00093732645238192
3691,Sonic Drive-In 5860 Highway 70,35.17283063,-89.86766991,"5860 Highway 70, Memphis, TN, 38134",5860 Highway 70,Memphis,TN,38134,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
2624,Sonic Drive-In 6308 Charlotte Pike,36.14549899,-86.87213999,"6308 Charlotte Pike, Nashville, TN, 37209",6308 Charlotte Pike,Nashville,TN,37209,Davidson,Sonicdrivein,Food Chains,703953.0,0.000869376222560313
3752,Sonic Drive-In 3910 Gallatin Pike,36.21653202,-86.72853602,"3910 Gallatin Pike, Nashville, TN, 37216",3910 Gallatin Pike,Nashville,TN,37216,Davidson,Sonicdrivein,Food Chains,703953.0,0.000869376222560313
4234,Sonic Drive-In 1050 Murfreesboro Road,36.17479001,-86.302864,"1050 Murfreesboro Road, Lebanon, TN, 37090",1050 Murfreesboro Road,Lebanon,TN,37090,Wilson,Sonicdrivein,Food Chains,151917.0,0.0008754780570969674
5839,Sonic Drive-In 2308 West Stone Drive,36.55563185,-82.59650677,"2308 West Stone Drive, Kingsport, TN, 37660",2308 West Stone Drive,Kingsport,TN,37660,Sullivan,Sonicdrivein,Food Chains,159265.0,0.0009606630458669514
3835,Sonic Drive-In 215 Cason Lane,35.843402,-86.440031,"215 Cason Lane, Murfreesboro, TN, 37127",215 Cason Lane,Murfreesboro,TN,37127,Rutherford,Sonicdrivein,Food Chains,352182.0,0.0008319562044624654
5909,Sonic Drive-In 50 Dover Crossing,36.55342046,-87.39629779,"50 Dover Crossing, Clarksville, TN, 37042",50 Dover Crossing,Clarksville,TN,37042,Montgomery,Sonicdrivein,Food Chains,227900.0,0.0007591048705572619
2338,Sonic Drive-In 524 W. Main Street,36.20890901,-86.30387796,"524 W Main Street, Lebanon, TN, 37087",524 W Main Street,Lebanon,TN,37087,Wilson,Sonicdrivein,Food Chains,151917.0,0.0008754780570969674
4468,Sonic Drive-In 7450 Winchester Road,35.05108898,-89.81461296,"7450 Winchester Road, Memphis, TN, 38125",7450 Winchester Road,Memphis,TN,38125,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
3790,Sonic Drive-In 2501 Franklin Road,36.12489888,-86.7766881,"2501 Franklin Road, Nashville, TN, 37204",2501 Franklin Road,Nashville,TN,37204,Davidson,Sonicdrivein,Food Chains,703953.0,0.000869376222560313
2543,Sonic Drive-In 8097 Highway 51 N,35.34762601,-89.90416103,"8097 Highway 51 N, Millington, TN, 38053",8097 Highway 51 N,Millington,TN,38053,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
4079,Sonic Drive-In 3540 Covington Pike,35.22281201,-89.89374098,"3540 Covington Pike, Memphis, TN, 38128",3540 Covington Pike,Memphis,TN,38128,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
2541,Sonic Drive-In 1650 Middle Tennessee Blvd,35.83231601,-86.37558397,"1650 Middle Tennessee Blvd, Murfreesboro, TN, 37130",1650 Middle Tennessee Blvd,Murfreesboro,TN,37130,Rutherford,Sonicdrivein,Food Chains,352182.0,0.0008319562044624654
2570,Sonic Drive-In 1305 N. Germantown Parkway,35.16121801,-89.79556702,"1305 N Germantown Parkway, Cordova, TN, 38018",1305 N Germantown Parkway,Cordova,TN,38018,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
2564,Sonic Drive-In 1565 North Gallatin Pike,36.29123301,-86.70276603,"1565 North Gallatin Pike, Madison, TN, 37115",1565 North Gallatin Pike,Madison,TN,37115,Davidson,Sonicdrivein,Food Chains,703953.0,0.000869376222560313
5727,Sonic Drive-In 7519 Mountain Grove Drive,35.906363,-83.84118697,"7519 Mountain Grove Drive, Knoxville, TN, 37920",7519 Mountain Grove Drive,Knoxville,TN,37920,Knox,Sonicdrivein,Food Chains,486677.0,0.0008321741113716079
6028,Sonic Drive-In 713 South Mt. Juliet Road (Providence),36.16023002,-86.514899,"713 South Mt Juliet Road (Providence), Mount Juliet, TN, 37122",713 South Mt Juliet Road (Providence),Mount Juliet,TN,37122,Wilson,Sonicdrivein,Food Chains,151917.0,0.0008754780570969674
5580,Sonic Drive-In 701 North Riverside Drive,36.53778501,-87.36679004,"701 North Riverside Drive, Clarksville, TN, 37040",701 North Riverside Drive,Clarksville,TN,37040,Montgomery,Sonicdrivein,Food Chains,227900.0,0.0007591048705572619
4156,Sonic Drive-In 3845 Fort Henry Drive,36.49142102,-82.50564201,"3845 Fort Henry Drive, Kingsport, TN, 37663",3845 Fort Henry Drive,Kingsport,TN,37663,Sullivan,Sonicdrivein,Food Chains,159265.0,0.0009606630458669514
1067,Sonic Drive-In 4348 Ringgold Road,34.99532502,-85.23669397,"4348 Ringgold Road, Chattanooga, TN, 37412",4348 Ringgold Road,Chattanooga,TN,37412,Hamilton,Sonicdrivein,Food Chains,369135.0,0.00093732645238192
4224,Sonic Drive-In 1701 Murfreesboro Pike,36.10254098,-86.66605698,"1701 Murfreesboro Pike, Nashville, TN, 37217",1701 Murfreesboro Pike,Nashville,TN,37217,Davidson,Sonicdrivein,Food Chains,703953.0,0.000869376222560313
3592,Sonic Drive-In 4305 Hixson Pike,35.11688998,-85.25106097,"4305 Hixson Pike, Chattanooga, TN, 37415",4305 Hixson Pike,Chattanooga,TN,37415,Hamilton,Sonicdrivein,Food Chains,369135.0,0.00093732645238192
4173,Sonic Drive-In 6651 Eastgate Blvd,36.188342,-86.41088897,"6651 Eastgate Blvd, Lebanon, TN, 37090",6651 Eastgate Blvd,Lebanon,TN,37090,Wilson,Sonicdrivein,Food Chains,151917.0,0.0008754780570969674
2548,Sonic Drive-In 6981 Highway 64,35.20479385,-89.83052269,"6981 Highway 64, Memphis, TN, 38133",6981 Highway 64,Memphis,TN,38133,Shelby,Sonicdrivein,Food Chains,924454.0,0.0007680209074761967
3183,Sonic Drive-In 3307 North Broadway,36.00173401,-83.92638901,"3307 North Broadway, Knoxville, TN, 37917",3307 North Broadway,Knoxville,TN,37917,Knox,Sonicdrivein,Food Chains,486677.0,0.0008321741113716079
4104,Sonic Drive-In 7420 East Brainerd Road,35.01446099,-85.16323396,"7420 East Brainerd Road, Chattanooga, TN, 37421",7420 East Brainerd Road,Chattanooga,TN,37421,Hamilton,Sonicdrivein,Food Chains,369135.0,0.00093732645238192
1770,Sonic Drive-In 3508 Dayton Boulevard,35.11304499,-85.292958,"3508 Dayton Boulevard, Chattanooga, TN, 37415",3508 Dayton Boulevard,Chattanooga,TN,37415,Hamilton,Sonicdrivein,Food Chains,369135.0,0.00093732645238192
2585,Sonic Drive-In 3655 N. Mount Juliet Road,36.22141402,-86.51453497,"3655 N Mount Juliet Road, Mount Juliet, TN, 37122",3655 N Mount Juliet Road,Mount Juliet,TN,37122,Wilson,Sonicdrivein,Food Chains,151917.0,0.0008754780570969674
