FIPS,State,County,Health Outcomes Z Score ,Health Outcomes Rank ,Health Factors Z Score ,Health Factors Rank ,Length of Life Z Score,Length of Life Rank,Quality of Life Z Score,Quality of Life Rank,Health Behaviors Z Score,Health Behaviors Rank,Clinical Care Z Score,Clinical Care Rank,Social Economic Factors Z Score,Social Economic Factors Rank,Physical Environment Z Score,Physical Environment Rank,Years of Potential Life Lost Rate, Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Poor mental health days 95 CI Low, Smokers,Adult smoking 95 CI Low, Adults with Obesity,Adult obesity 95 CI Low,Food Environment Index, Physically Inactive,Physically inactive 95 CI Low, With Access to Exercise Opportunities, Excessive Drinking,Excessive drinking 95 CI Low, Completed High School,High School Completion 95 CI Low, Some College, Some College, Unemployed, Unemployed, Children in Poverty,Children in Poverty 95 CI Low
47113,Tennessee,Madison,-0.074410197,47,-0.325143927,20,-0.088608206,40,0.0141980097,52,-0.024937144,35,-0.210725776,5,-0.030961675,43,-0.058519332,8,10018.733325,23.562260084,4.8531002191,5.3221646504,4.9952178058,23.239157477,20.504628915,40.2,36.3,7.0,30.8,27.7,77.295664028,13.567359494,12.982878355,88.860712804,87.7015453,13376,57.309340189,1766,3.568181359,28.9,22.942553191
47115,Tennessee,Marion,0.221495133,61,0.1239243386,54,0.1180866175,65,0.1034085155,61,0.0433924471,57,-0.047793607,31,0.0284295961,50,0.099895902,94,10735.767486,23.564348912,5.3715516588,5.718386365,5.2646575671,27.208176097,23.756271104,32.8,24.7,7.5,33.8,26.7,67.719658604,16.690941532,15.553041879,81.526439945,79.428171424,3599,54.332729469,541,4.2943324337,21.8,13.459574468
47117,Tennessee,Marshall,-0.451501696,23,-0.119889641,32,-0.354728823,19,-0.096772873,35,0.0217439292,49,-0.06998618,24,-0.105157336,30,0.0335099463,75,9095.5482672,23.067383336,5.1021318708,5.4039856412,4.9868345142,25.266652273,21.956125122,42.7,33.8,7.6,29.6,21.3,50.903093053,15.774457881,14.849581171,85.418225019,83.286873993,3712,43.435525392,555,3.499369483,20.2,15.314893617
47119,Tennessee,Maury,-0.897019601,14,-0.871528514,6,-0.482664964,13,-0.414354637,14,-0.200099729,10,-0.214658945,4,-0.400038244,7,-0.056731597,9,8651.73172,20.606794745,4.6017330033,5.2130593077,4.8224558293,21.971320058,19.035746213,31.9,26.1,7.9,31.5,26.4,59.907851178,16.058876524,15.17829648,90.15331394,89.040992262,14893,61.152172128,1582,3.1540961381,13.2,7.9574468085
47121,Tennessee,Meigs,0.7525083888,80,0.2369381024,71,0.5912375775,85,0.1612708113,63,0.0264478977,50,0.0644422704,67,0.1114370673,65,0.0346108671,78,12377.150637,23.691424317,5.2823343347,5.6323669768,5.1939504519,27.275952787,23.798942462,31.3,22.5,8.0,34.9,25.7,32.970305454,16.698877363,15.648208947,83.832879201,80.939177106,1106,41.798941799,238,4.5506692161,24.7,15.287234043
47123,Tennessee,Monroe,0.340603963,68,0.204349919,66,0.0005506271,50,0.340053336,78,0.0125763385,47,0.080832488,77,0.0481106394,53,0.0628304532,89,10328.029553,26.383990072,5.6886038704,5.8882584427,5.4516749061,27.537459626,23.965236714,36.6,30.1,7.8,26.7,20.4,75.410498888,14.882379872,13.925914796,82.436747728,80.191542553,4430,43.093385214,743,3.6500294753,27.3,20.508510638
47125,Tennessee,Montgomery,-0.932185417,12,-0.51730641,14,-0.382454093,18,-0.549731323,6,-0.051668888,29,-0.116953764,13,-0.323198317,12,-0.025485441,23,8999.3679882,21.184725292,4.6551238942,5.0427582413,4.7179999812,21.858731883,19.063228488,36.2,31.7,7.3,25.9,22.1,65.478062566,16.262228429,15.587586154,92.924539724,92.090492423,45763,70.601212607,3274,3.7972628161,16.4,12.34893617
47127,Tennessee,Moore,-1.123246773,6,-0.607225926,13,-0.763567751,5,-0.359679022,19,-0.169805508,13,-0.054984909,29,-0.388980487,8,0.0065449778,53,7677.2666104,21.20275044,4.7853438248,5.4233958779,4.966489935,24.954759839,21.40462589,29.3,18.0,7.6,20.9,12.0,20.088022634,16.775409429,15.721440007,85.860566449,81.219390442,791,56.580829757,106,2.9160935351,14.5,8.9
47129,Tennessee,Morgan,0.8454696063,83,0.6315045034,88,0.3336557811,76,0.5118138253,89,0.1982352565,91,0.1779490711,91,0.2282078141,79,0.0271123617,72,11483.587152,27.710035642,5.8873132668,5.9587715132,5.4999602116,30.760326775,27.508855468,37.9,27.5,6.9,31.5,22.1,48.84249784,15.694315893,14.673907113,80.256904303,77.71530543,1756,31.002824859,324,4.07239819,27.4,19.774468085
47131,Tennessee,Obion,0.0117582056,50,0.1977402238,61,-0.338973672,21,0.3507318772,79,0.144592799,84,-0.030728198,34,0.0929341381,61,-0.009058515,40,9150.2036363,26.528144169,5.697664716,6.1282993424,5.7024867931,27.560514554,24.205480849,39.2,31.6,7.0,39.5,32.1,70.097777219,15.361272005,14.494069584,83.517413169,81.568199211,3239,46.350887235,616,4.8830757035,23.2,15.09787234
47133,Tennessee,Overton,-0.423751468,25,0.0229600686,48,-0.24916564,27,-0.174585828,29,-0.003695592,40,0.0419723184,57,0.0048892406,47,-0.020205899,30,9461.7519633,25.064246922,5.5800761737,5.7269032142,5.2371795386,29.111773091,25.166877524,35.5,27.2,8.2,29.7,22.5,45.292759136,15.650023204,14.635553002,80.639546129,78.689109655,1982,39.895330113,379,3.780171554,21.6,13.974468085
47135,Tennessee,Perry,0.7684802863,81,0.6931398967,89,0.3500540361,77,0.4184262502,82,0.1637369374,86,0.1994434735,94,0.4110278911,89,-0.081068405,4,11540.473477,28.868757478,6.0542575021,6.2341199575,5.7636461855,30.843909036,27.260143928,29.3,19.4,6.2,26.6,17.5,12.760581175,15.290069066,14.298472607,74.851911686,70.307071106,640,36.592338479,158,5.0222504768,24.4,14.629787234
47137,Tennessee,Pickett,-0.125231929,38,0.2004173703,62,0.0325382879,52,-0.157770217,32,-0.03715787,33,0.1325353725,83,0.1982879486,75,-0.093248081,2,10438.996268,25.334214647,5.5173337565,5.9116076302,5.4467859141,28.849083282,25.153000229,30.7,19.7,8.0,32.4,21.5,56.706716565,16.014209205,14.876461582,74.382716049,66.952071646,496,47.922705314,111,4.6540880503,23.4,14.344680851
47139,Tennessee,Polk,0.4536740854,70,0.1261875855,55,0.4183681165,79,0.0353059689,54,0.0743381598,69,0.0524734115,60,-0.009892516,46,0.0092685302,57,11777.458266,24.531199839,5.4543474006,5.7470112358,5.3104999475,26.812696999,23.292751183,40.4,30.6,8.1,34.0,25.1,73.384843982,16.24108468,15.219607745,82.413736979,79.402180273,1623,43.888588426,302,3.9862724393,23.2,14.740425532
47141,Tennessee,Putnam,-1.083712726,7,-0.449967365,15,-0.633928791,8,-0.449783935,12,-0.149000646,14,-0.097709582,16,-0.169252321,24,-0.034004816,16,8126.9903196,22.508167715,5.0154934006,5.2907339504,4.8341344158,24.817761175,20.975589713,28.3,23.6,7.4,25.1,20.4,47.398404336,15.583921842,14.71825147,86.575533826,85.206740661,10699,57.134465449,1231,3.4818271814,19.6,13.404255319
47143,Tennessee,Rhea,0.07429008,53,0.2964337921,76,0.0613801513,60,0.0129099288,51,0.0813530394,72,-0.024023966,39,0.2566571754,83,-0.017552457,33,10539.050061,25.813920391,5.5532424457,5.7946175463,5.2886200522,27.658370792,23.661121677,39.7,30.7,7.1,28.4,20.7,63.733534534,15.457281139,14.497879421,80.778797883,78.121590063,3607,47.673803859,765,5.7085292142,22.9,14.678723404
47145,Tennessee,Roane,-0.120986633,40,-0.161731066,28,0.0695654415,61,-0.190552075,27,-0.074744458,24,-0.09498339,17,-0.042214467,42,0.0502112478,88,10567.445222,21.476013919,4.9374127134,5.328923313,4.8693822466,23.860460661,20.47757916,36.6,29.3,7.3,23.4,16.9,65.161218877,17.257347026,16.167586732,88.905068465,87.284109564,6114,53.934368384,955,4.0436973367,21.1,13.831914894
47147,Tennessee,Robertson,-0.98781665,9,-0.448851727,16,-0.448742762,15,-0.539073888,7,-0.07048454,26,-0.021128136,41,-0.363958495,10,0.0067194433,54,8769.4094486,20.419659746,4.5830840513,5.2267376822,4.8171093232,23.559713816,20.129670855,38.1,29.8,8.6,31.4,23.9,58.342259705,16.937298721,15.99310326,87.164054336,85.721898997,10138,55.844441996,1109,2.8768580249,14.7,10.410638298
47149,Tennessee,Rutherford,-1.355961951,4,-0.942186496,3,-0.869128043,4,-0.486833908,11,-0.277300129,2,-0.136032497,12,-0.551211423,3,0.0223575533,69,7311.0729446,18.767680465,4.3896352502,5.2746568952,4.9026415502,19.917985808,17.166949801,33.3,28.9,8.2,22.7,18.9,75.56967906,17.223839678,16.466575264,91.777631002,91.178533504,62626,68.664342258,4792,2.5667395124,12.9,9.8021276596
47151,Tennessee,Scott,1.4433030695,91,0.5197793188,84,0.9358531016,91,0.5074499679,88,0.1776393768,89,0.0791446918,76,0.2595112342,84,0.0034840159,51,13572.638256,27.149130447,5.9838536014,6.228954791,5.7439794057,30.212586652,26.609497335,39.8,30.5,7.2,34.1,25.8,71.050026993,15.393464281,14.323969181,79.780763318,76.995505354,2291,41.745626822,368,4.3669158657,30.4,21.821276596
47153,Tennessee,Sequatchie,-0.103650583,41,0.0828634704,52,-0.274364051,26,0.1707134675,64,-0.046843374,30,-0.058442428,28,0.2050860955,76,-0.016936823,34,9374.3374803,22.953585573,5.1587013875,5.6764972926,5.1858092191,26.116129922,22.345714795,36.7,27.2,7.9,25.0,17.4,33.708900227,16.155684307,15.102353671,81.570856238,78.556276254,1712,48.44368987,263,4.208,30.8,22.69787234
47155,Tennessee,Sevier,-0.328488572,29,-0.06423473,36,-0.093663789,39,-0.234824783,22,0.0389002617,54,0.0982790889,80,-0.194375485,19,-0.007038596,41,10001.195269,22.712789382,5.1995449321,5.5556568654,5.0884128879,25.393492411,21.634327715,44.0,37.3,7.7,36.5,29.5,63.718586256,15.54738898,14.629540474,84.996909099,83.694494767,11897,51.216152224,1805,3.2684472612,20.4,13.965957447
47157,Tennessee,Shelby,0.3536004284,69,-0.009054936,42,0.072279836,63,0.2813205924,75,-0.133574254,16,-0.025234693,37,0.1339839066,69,0.0157701042,63,10576.861585,23.213190518,4.7158032405,5.1224558245,4.7732660165,21.143884237,18.565273799,34.9,32.1,6.9,26.5,23.7,86.687242089,15.146165832,14.573907366,88.411380327,88.007336159,159555,62.645763151,18080,4.0180902959,25.7,21.887234043
47159,Tennessee,Smith,-0.095625022,43,-0.047476897,39,-0.277493637,25,0.1818686151,65,-0.081257325,23,0.06913456,71,-0.082138458,32,0.0467843255,85,9363.4807971,23.52755384,5.230820869,5.7270065965,5.2578594952,26.82565809,23.049243153,31.8,22.8,8.3,26.4,18.1,49.253887092,16.893603139,15.872630238,85.263466902,82.97308164,2088,45.165476963,288,3.0034414433,22.3,16.461702128
47161,Tennessee,Stewart,-0.538204497,22,-0.104491225,33,-0.141035835,34,-0.397168662,15,-0.104990476,17,0.1005929703,81,-0.071552953,37,-0.028540767,21,9836.8593911,22.074942933,4.9634094806,5.5426937102,5.0548760986,25.797471732,22.08773104,29.4,17.7,7.8,21.7,12.8,54.323026118,17.065810354,15.985853942,87.194424217,83.949226295,1665,55.095962938,248,4.476534296,18.9,11.274468085
47163,Tennessee,Sullivan,-0.374864703,28,-0.444666305,17,-0.1738428,31,-0.201021903,25,-0.101110811,19,-0.188508306,7,-0.153840691,25,-0.001206497,48,9723.0504712,21.706801212,5.0548824227,5.7218605656,5.2480606984,24.764838065,20.951648095,33.3,30.2,6.9,31.1,28.1,78.123106942,15.376485369,14.58631432,87.157357746,86.237349809,21406,59.997757722,2632,3.708139027,23.0,16.923404255
47165,Tennessee,Sumner,-1.563232766,3,-0.917791686,5,-0.873428429,3,-0.689804338,3,-0.272581749,3,-0.072180783,23,-0.531096265,4,-0.041932888,11,7296.1547024,18.444323831,4.4310762764,4.9669687678,4.538732715,20.72824304,17.518639211,27.2,21.8,8.2,31.7,26.4,65.403218276,17.765615481,16.863496517,89.743548939,89.013235776,30755,65.230762705,2777,2.6750794721,11.7,8.1255319149
47167,Tennessee,Tipton,-0.438252971,24,-0.177367366,27,-0.327208998,23,-0.111043973,34,-0.021556423,38,0.0041625908,46,-0.174995397,23,0.015021864,62,9191.0158465,22.142768872,4.9396074055,5.4409433987,5.0733063156,25.047418604,22.045984888,37.1,28.8,7.7,31.7,24.7,49.35249914,16.223973295,15.363457017,87.795677991,86.490494096,9225,59.187732581,1105,3.8825058852,16.5,9.9468085106
47169,Tennessee,Trousdale,-0.312295379,30,-0.067462907,35,-0.405079366,16,0.0927839867,60,-0.083344679,22,0.1766122734,90,-0.133819063,28,-0.026911439,22,8920.8798441,24.521994532,5.2186779677,5.4962885788,5.006618962,27.049742163,23.217523145,24.8,13.9,,21.9,13.9,66.950444727,16.795514893,15.694146595,84.435797665,79.793301902,1686,50.133809099,168,3.0528802471,17.9,10.75106383
47171,Tennessee,Unicoi,0.9103400663,84,-0.157428999,29,0.6047283137,86,0.3056117526,76,-0.087707112,21,-0.029361561,35,0.0304853325,51,-0.070845658,6,12423.950641,24.681410463,5.5264068746,5.696135895,5.2096112375,26.709786928,22.814991177,27.4,18.9,7.0,22.1,15.2,100.0,15.55850696,14.503061373,84.98132935,82.982677355,2291,56.400787789,358,4.9951165062,22.3,14.19787234
47173,Tennessee,Union,0.7265178554,77,0.4058347851,80,0.3010567889,75,0.4254610665,83,0.1039408208,75,0.0589470137,66,0.2083384625,78,0.0346084881,77,11370.4997,27.472692695,5.8508306098,6.1147361508,5.6136901493,29.946063248,26.09183363,33.7,23.4,7.7,28.6,19.1,22.41875556,15.395503387,14.299896647,77.14161787,74.003920561,1833,39.744145707,311,4.0400103923,28.7,19.04893617
47175,Tennessee,Van Buren,0.2984827332,67,0.5115783168,83,0.0461820236,56,0.2523007096,74,0.057724955,62,0.1918223985,93,0.2298296791,81,0.0322012841,74,10486.327034,27.236139918,5.8624135066,6.1243776475,5.6432508439,30.369164587,26.598911134,33.1,21.7,7.6,27.1,17.6,62.887527037,15.632639664,14.522137043,78.976874562,75.243281984,378,30.557801132,93,4.4884169884,23.5,13.968085106
47177,Tennessee,Warren,0.1720918164,58,0.2020852047,64,-0.070322527,43,0.2424143433,71,0.0629508997,65,0.0567882329,64,0.0977927771,62,-0.015446705,36,10082.167216,27.371629663,5.693978958,6.0010493719,5.5011012123,28.434667027,24.812461266,35.4,27.6,7.3,33.7,26.3,56.610356686,15.209453965,14.276303405,79.472929365,77.289752127,4370,43.556264328,691,4.0962712668,23.7,15.359574468
47179,Tennessee,Washington,-0.615753757,21,-0.791110022,7,-0.182979981,30,-0.432773776,13,-0.204985536,9,-0.305838018,3,-0.282886484,15,0.0026000165,50,9691.3531573,19.681483563,4.7178781413,5.2480478586,4.7817929595,22.396534709,18.812093277,33.9,29.6,7.5,25.8,22.2,70.409582124,16.072450274,15.139010812,88.771341185,87.521977603,21149,68.172001418,2104,3.4546171023,19.4,14.634042553
47181,Tennessee,Wayne,-0.058860043,48,0.3415256879,77,-0.015049996,48,-0.043810047,41,0.046700574,61,0.0695649323,72,0.1775266498,72,0.0477335319,86,10273.910251,26.243005825,5.5186824358,5.6441437479,5.2368746449,28.616459729,25.178280905,33.5,24.9,7.0,39.6,30.4,70.789025322,16.093498736,15.112063163,80.195935552,77.495477373,1896,41.984056687,294,4.6659260435,22.6,13.90212766
47183,Tennessee,Weakley,-0.749626593,15,-0.126646318,30,-0.353174993,20,-0.3964516,16,-0.002301823,43,0.0336570587,54,-0.101993969,31,-0.056007584,10,9100.9385764,23.669039134,5.2564896543,5.6235279654,5.1960988979,26.183037827,22.325798009,39.8,32.4,7.3,32.5,25.8,25.01641872,15.550736431,14.649996087,85.138656244,83.319293373,3979,55.728291317,657,4.0388516629,23.4,15.655319149
47185,Tennessee,White,-0.08489759,45,-0.120745855,31,-0.157720748,32,0.072823158,57,0.0423742343,55,-0.059771076,27,-0.080826613,33,-0.0225224,27,9778.9786359,25.610534717,5.6718065781,5.7930853599,5.318777031,28.017128435,24.407606199,36.7,29.1,7.6,24.2,17.0,35.888703998,15.505017027,14.585735169,83.182543906,80.378960365,2953,48.465452158,455,3.6803364879,21.5,14.112765957
47187,Tennessee,Williamson,-3.461734533,1,-2.104562538,1,-1.744966998,1,-1.716767534,1,-0.714116354,1,-0.487858439,1,-0.918660772,1,0.0160730275,64,4272.7460128,12.162689746,3.2740039817,4.0131565948,3.6457710242,13.894950685,11.115107579,22.5,17.9,9.4,17.6,13.4,80.443493356,18.275286878,17.364814202,95.334312754,94.734299417,46089,85.993357713,3158,2.4252198287,4.1,2.7893617021
47189,Tennessee,Wilson,-1.592928708,2,-0.918532415,4,-0.87912205,2,-0.713806658,2,-0.253789846,5,-0.139143993,11,-0.592348628,2,0.0667500532,91,7276.4032584,17.284194862,4.0558844956,4.8550541082,4.4451278834,20.211854724,16.888173436,33.7,27.4,8.7,21.9,16.5,58.09040906,18.447760901,17.530522759,91.589432193,90.680472273,24492,70.342926073,2089,2.6875771923,10.1,7.2404255319
