FIPS,State,County,Health Outcomes Z Score ,Health Outcomes Rank ,Health Factors Z Score ,Health Factors Rank ,Length of Life Z Score,Length of Life Rank,Quality of Life Z Score,Quality of Life Rank,Health Behaviors Z Score,Health Behaviors Rank,Clinical Care Z Score,Clinical Care Rank,Social Economic Factors Z Score,Social Economic Factors Rank,Physical Environment Z Score,Physical Environment Rank,Years of Potential Life Lost Rate, Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Poor mental health days 95 CI Low, Smokers,Adult smoking 95 CI Low, Adults with Obesity,Adult obesity 95 CI Low,Food Environment Index, Physically Inactive,Physically inactive 95 CI Low, With Access to Exercise Opportunities, Excessive Drinking,Excessive drinking 95 CI Low, Completed High School,High School Completion 95 CI Low, Some College, Some College, Unemployed, Unemployed, Children in Poverty,Children in Poverty 95 CI Low
47027,Tennessee,Clay,1.2413141075,88,0.7441471054,90,0.443653166,81,0.7976609415,93,0.10432922,76,0.154273678,85,0.509816858,92,-0.024272651,24,11865.173304,28.459841286,6.0641266159,6.1699636286,5.6350155665,30.584828677,26.324332078,32.0,21.6,7.3,32.2,21.6,25.938175805,15.020361933,14.051231567,80.31496063,75.372106662,620,40.285899935,168,5.9829059829,28.1,17.257446809
47029,Tennessee,Cocke,1.7059724593,94,0.7730028607,91,1.2230360002,94,0.4829364591,86,0.3195388116,93,-0.049215675,30,0.4880683984,91,0.0146113261,61,14568.88937,27.485602158,5.9630304805,6.2175812958,5.7287379105,30.547681193,26.734189044,41.0,32.5,6.2,31.5,23.5,38.062924121,15.264441912,14.359421798,80.069061845,77.752427594,2902,36.7388277,687,4.5304668953,41.3,31.291489362
47031,Tennessee,Coffee,-0.132663427,37,-0.267242637,22,-0.056471717,44,-0.076191709,39,-0.068598412,27,-0.083472686,20,-0.121165522,29,0.005993984,52,10130.216332,21.882622376,5.0255126967,5.5245567662,5.0542523043,24.602190828,20.929248778,30.7,24.5,7.6,34.3,28.4,73.185468596,16.432455449,15.43111133,85.448019144,83.533328002,6239,46.355598484,858,3.3321682395,21.0,13.731914894
47033,Tennessee,Crockett,0.2505781681,63,0.2083595699,67,0.1766194202,67,0.073958748,58,0.1724297282,87,0.0851701987,78,-0.067042058,38,0.0178017005,65,10938.820558,26.81906548,5.6203905635,5.8379560861,5.4353563191,27.422117574,24.243599655,46.2,35.5,7.9,39.1,28.8,3.0028794735,15.530187524,14.742350733,81.190839695,78.645512969,1583,46.723730815,246,3.4799830245,23.3,16.270212766
47035,Tennessee,Cumberland,-0.288682449,32,-0.06089745,37,-0.002023523,49,-0.286658926,21,0.0450417549,59,-0.104779025,15,0.0327528775,52,-0.033913057,17,10319.099705,21.974339489,4.9842028362,5.4971034281,4.9941265685,27.020178642,22.900762589,34.6,28.4,7.3,30.0,23.9,62.877990473,16.626163815,15.718806385,85.79598558,83.821019788,5138,45.424807709,1061,4.4796284568,22.9,14.20212766
47037,Tennessee,Davidson,-1.023968426,8,-0.677064302,9,-0.515190338,11,-0.508778088,10,-0.24236084,6,-0.08482992,19,-0.336166609,11,-0.013706933,37,8538.8996505,19.405585314,4.3855371908,4.9531750808,4.5957232284,20.474219607,17.500181817,29.2,26.1,7.7,22.8,20.3,90.912920609,16.853110834,16.194612713,89.071004844,88.594509739,168096,72.59849185,10308,2.5153119738,18.1,13.929787234
47039,Tennessee,Decatur,-0.27466412,33,0.1734687042,59,-0.232543763,28,-0.042120357,42,0.0021199726,44,0.0284772531,53,0.1076851959,63,0.0351862825,79,9519.4140448,24.260638399,5.5038403696,5.785030809,5.3066534566,27.58633906,23.890136397,33.6,25.6,7.6,34.7,26.3,48.48175555,15.56681788,14.551948551,85.929108485,82.795517703,1345,56.205599666,245,5.3133810453,23.0,13.825531915
47041,Tennessee,DeKalb,0.5522132704,74,0.145646961,56,0.4265563916,80,0.1256568788,62,-0.057157542,28,0.0668918515,69,0.1734278249,71,-0.037515174,12,11805.863782,23.925979122,5.3224244459,5.622555513,5.1505769682,25.709170471,22.013256185,35.4,26.0,8.0,28.1,19.4,33.86209475,15.631387616,14.646281076,80.148725212,76.847501359,1911,39.039836568,339,4.3157224698,26.0,17.063829787
47043,Tennessee,Dickson,-0.399705421,27,-0.443804197,18,-0.020026219,47,-0.379679203,17,-0.185302133,12,-0.003931435,42,-0.231134196,17,-0.023436434,26,10256.647498,22.355483122,4.9662633946,5.5218414069,5.0796764654,25.169954292,21.794951816,27.7,19.5,8.0,22.1,14.5,68.211653848,16.300216653,15.267764933,83.697354323,81.907754167,6683,49.485375787,816,2.9771243022,13.8,7.9617021277
47045,Tennessee,Dyer,0.7772800825,82,0.2790873853,73,0.3778320961,78,0.3994479864,81,0.1432299868,82,0.096999583,79,0.1266718194,67,-0.087814004,3,11636.836887,24.211321635,5.2969157524,5.640330101,5.2047130117,26.526294289,23.047260214,37.9,30.7,6.5,37.8,30.9,61.612103822,16.52762461,15.595467119,83.872358775,81.711600454,4606,50.626511321,805,4.8502741459,22.6,13.544680851
47047,Tennessee,Fayette,-0.70175098,20,-0.266648632,24,-0.497565267,12,-0.204185713,24,-0.021597917,37,-0.06932908,25,-0.184265383,22,0.0085437467,55,8600.0418617,21.37102444,4.7832933198,5.080856096,4.7020262055,23.019309359,20.011583035,44.3,34.2,8.2,31.2,21.8,48.262307031,16.471778213,15.629025654,86.207013383,84.686574977,5260,58.166537653,707,3.6499741869,16.7,10.385106383
47049,Tennessee,Fentress,0.297979484,66,0.2889326086,75,0.0467724069,57,0.2512070771,73,0.0272949122,51,0.1809017822,92,0.058289577,55,0.0224463373,70,10488.375102,27.28742036,5.7982712475,6.0171984842,5.4907248224,30.149408732,25.886754857,30.7,22.2,7.5,27.3,20.2,55.192382649,14.663654141,13.673835229,82.98395147,80.399071185,1817,46.963039545,315,4.1694242224,28.4,18.391489362
47051,Tennessee,Franklin,-0.707162995,19,-0.443741523,19,-0.335884269,22,-0.371278726,18,-0.102080965,18,-0.085696784,18,-0.221016568,18,-0.034947205,15,9160.9209212,21.132859768,4.7584555682,5.229217411,4.7985676715,25.266998814,21.754301096,32.9,26.8,7.6,25.4,20.2,55.220208516,16.810460812,15.84301154,87.500875534,86.002165989,4767,51.888538152,680,3.3426731554,18.2,11.885106383
