Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,URL,Provider,Category,Status,Direction URL,geometry
91002,Applebee's Columbia,35.594553,-87.055372,"705 S James Campbell Blvd, Columbia, TN, 38401",705 S James Campbell Blvd,Columbia,TN,38401,Maury,https://restaurants.applebees.com/en-us/tn/columbia/705-s-james-campbell-blvd-91002,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/705+S+James+Campbell+Blvd,+Columbia,+TN,+38401,+USA/",POINT (-87.055372 35.594553)
78090,Applebee's Hixson,35.1479718,-85.2499712,"5595 Highway 153, Hixson, TN, 37343",5595 Highway 153,Hixson,TN,37343,Hamilton,https://restaurants.applebees.com/en-us/tn/hixson/5595-highway-153-78090,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/5595+Highway+153,+Hixson,+TN,+37343,+USA/",POINT (-85.2499712 35.1479718)
86098,Applebee's N. Roan St,36.340148,-82.374187,"2100 North Roan Street, Johnson City, TN, 37601",2100 North Roan Street,Johnson City,TN,37601,Washington,https://restaurants.applebees.com/en-us/tn/johnsoncity/2100-north-roan-street-86098,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2100+North+Roan+Street,+Johnson+City,+TN,+37601,+USA/",POINT (-82.374187 36.340148)
93002,Applebee's Bristol,36.589412,-82.185826,"425 Volunteer Parkway, Bristol, TN, 37620",425 Volunteer Parkway,Bristol,TN,37620,Sullivan,https://restaurants.applebees.com/en-us/tn/bristol/425-volunteer-parkway-93002,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/425+Volunteer+Parkway,+Bristol,+TN,+37620,+USA/",POINT (-82.185826 36.589412)
81099,Applebee's Union Ave,35.1349,-89.9912,"2114 Union Ave, Memphis, TN, 38104",2114 Union Ave,Memphis,TN,38104,Shelby,https://restaurants.applebees.com/en-us/tn/memphis/2114-union-ave.-81099,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2114+Union+Ave,+Memphis,+TN,+38104,+USA/",POINT (-89.9912 35.1349)
95088,Applebee's Eastgate Mall,35.010675,-85.216467,"5606 Brainerd Road, Chattanooga, TN, 37421",5606 Brainerd Road,Chattanooga,TN,37421,Hamilton,https://restaurants.applebees.com/en-us/tn/chattanooga/5606-brainerd-road-95088,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/5606+Brainerd+Road,+Chattanooga,+TN,+37421,+USA/",POINT (-85.216467 35.010675)
85051,Applebee's N Peters Rd,35.915292,-84.087847,"261 North Peters Road, Knoxville, TN, 37923",261 North Peters Road,Knoxville,TN,37923,Knox,https://restaurants.applebees.com/en-us/tn/knoxville/261-north-peters-road-85051,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/261+North+Peters+Road,+Knoxville,+TN,+37923,+USA/",POINT (-84.087847 35.915292)
97099,Applebee's Murfreesboro,35.831288,-86.349436,"2896 S Rutherford Blvd, Murfreesboro, TN, 37130",2896 S Rutherford Blvd,Murfreesboro,TN,37130,Rutherford,https://restaurants.applebees.com/en-us/tn/murfreesboro/2896-s.-rutherford-blvd.-97099,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2896+S+Rutherford+Blvd,+Murfreesboro,+TN,+37130,+USA/",POINT (-86.349436 35.831288)
85069,Applebee's Thompson Ln,36.112401,-86.765567,"718 Thompson Lane, Nashville, TN, 37204",718 Thompson Lane,Nashville,TN,37204,Davidson,https://restaurants.applebees.com/en-us/tn/nashville/718-thompson-lane-85069,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/718+Thompson+Lane,+Nashville,+TN,+37204,+USA/",POINT (-86.765567 36.112401)
89086,Applebee's Clarksville,36.59495,-87.288435,"3066 Wilma Rudolph, Clarksville, TN, 37043",3066 Wilma Rudolph,Clarksville,TN,37043,Montgomery,https://restaurants.applebees.com/en-us/tn/clarksville/3066-wilma-rudolph-89086,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3066+Wilma+Rudolph,+Clarksville,+TN,+37043,+USA/",POINT (-87.288435 36.59495)
