Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,URL,Provider,Category,Status,Direction URL,geometry
20053921,Sprouts Frms Mkt 582 Groc,36.080578,-86.947296,"7620 Hwy 70 S, Nashville, TN, 37221",7620 Hwy 70 S,Nashville,TN,37221,Davidson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/7620+Hwy+70+S,+Nashville,+TN,+37221,+USA/",POINT (-86.947296 36.080578)
20059615,The Fresh Market (Brentwood),36.031029,-86.791512,"235 Franklin Rd, Brentwood, TN, 37027",235 Franklin Rd,Brentwood,TN,37027,Williamson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/235+Franklin+Rd,+Brentwood,+TN,+37027,+USA/",POINT (-86.791512 36.031029)
20061268,Walmart Supercenter,36.014797,-86.545593,"5511 Murfreesboro Ro, La Vergne, TN, 37086",5511 Murfreesboro Ro,La Vergne,TN,37086,Rutherford,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/5511+Murfreesboro+Ro,+La+Vergne,+TN,+37086,+USA/",POINT (-86.545593 36.014797)
20059382,Sprouts Farmers Market - Lakeland (578),35.205853,-89.761314,"9050 Us-64, Arlington, TN, 38002",9050 Us-64,Arlington,TN,38002,Shelby,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/9050+Us-64,+Arlington,+TN,+38002,+USA/",POINT (-89.761314 35.205853)
20061441,Walmart Supercenter,36.131386,-86.906998,"7044 Charlotte Pike, Nashville, TN, 37209",7044 Charlotte Pike,Nashville,TN,37209,Davidson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/7044+Charlotte+Pike,+Nashville,+TN,+37209,+USA/",POINT (-86.906998 36.131386)
20051738,Nip-Turnip Truck Nat.Mkt,36.173843,-86.760063,"701 Woodland St, Nashville, TN, 37206",701 Woodland St,Nashville,TN,37206,Davidson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/701+Woodland+St,+Nashville,+TN,+37206,+USA/",POINT (-86.760063 36.173843)
20051736,Nip-Turnip Trk Urban Fare,36.152763,-86.785225,"321 12th Ave South, Nashville, TN, 37203",321 12th Ave South,Nashville,TN,37203,Davidson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/321+12th+Ave+South,+Nashville,+TN,+37203,+USA/",POINT (-86.785225 36.152763)
20049941,Ingles #00021 Natural,36.163158,-82.830986,"Greeneville, TN, 37743",,Greeneville,TN,37743,Greene,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/Greeneville,+TN,+37743,+USA/",POINT (-82.830986 36.163158)
20049539,Health Barn-Greenville,36.169994,-82.813164,"829 Tusculum Blvd, Greeneville, TN, 37743",829 Tusculum Blvd,Greeneville,TN,37743,Greene,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/829+Tusculum+Blvd,+Greeneville,+TN,+37743,+USA/",POINT (-82.813164 36.169994)
20050003,Ingles #00070 Natural,36.182327,-82.774826,"2845 E Andrew Johnson Hwy, Greeneville, TN, 37745",2845 E Andrew Johnson Hwy,Greeneville,TN,37745,Greene,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2845+E+Andrew+Johnson+Hwy,+Greeneville,+TN,+37745,+USA/",POINT (-82.774826 36.182327)
20055105,Cost Plus World Market - Chattanooga,35.036304,-85.154015,"2200 Hamilton Place Blvd Suite 6, Chattanooga, TN, 37421",2200 Hamilton Place Blvd Suite 6,Chattanooga,TN,37421,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2200+Hamilton+Place+Blvd+Suite+6,+Chattanooga,+TN,+37421,+USA/",POINT (-85.154015 35.036304)
20054619,Village Market-Collegedal,35.048679,-85.048546,"5002 Univ Dr/Flmng Plaza, Collegedale, TN, 37315",5002 Univ Dr/Flmng Plaza,Collegedale,TN,37315,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/5002+Univ+Dr/Flmng+Plaza,+Collegedale,+TN,+37315,+USA/",POINT (-85.048546 35.048679)
20061279,Walmart Supercenter,35.081131,-85.063126,"5588 Little Debbie P, Collegedale, TN, 37363",5588 Little Debbie P,Collegedale,TN,37363,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/5588+Little+Debbie+P,+Collegedale,+TN,+37363,+USA/",POINT (-85.063126 35.081131)
20061307,Walmart Supercenter,36.041943,-86.709175,"5824 Nolensville Pik, Nashville, TN, 37211",5824 Nolensville Pik,Nashville,TN,37211,Davidson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/5824+Nolensville+Pik,+Nashville,+TN,+37211,+USA/",POINT (-86.709175 36.041943)
20040644,Corn Crib Health Store,36.220779,-86.341599,"1645 West Main Street, Lebanon, TN, 37087",1645 West Main Street,Lebanon,TN,37087,Wilson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1645+West+Main+Street,+Lebanon,+TN,+37087,+USA/",POINT (-86.341599 36.220779)
19761988,Publix Supermarket 1021,36.036911,-86.798828,"101 Creekside Crossing, Brentwood, TN, 37027",101 Creekside Crossing,Brentwood,TN,37027,Williamson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/101+Creekside+Crossing,+Brentwood,+TN,+37027,+USA/",POINT (-86.798828 36.036911)
20059775,The Turnip Truck Natural Market (The Gulch),36.152763,-86.785225,"321 12th Ave S, Nashville, TN, 37203",321 12th Ave S,Nashville,TN,37203,Davidson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/321+12th+Ave+S,+Nashville,+TN,+37203,+USA/",POINT (-86.785225 36.152763)
20053893,Sprouts Frmrs Mk 580 Deli,35.915436,-86.838509,"1010 Murfreesboro Rd, Franklin, TN, 37064",1010 Murfreesboro Rd,Franklin,TN,37064,Williamson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1010+Murfreesboro+Rd,+Franklin,+TN,+37064,+USA/",POINT (-86.838509 35.915436)
20039836,Whole Foods Market Mcewen,35.934212,-86.824936,"1566 West Mcewen Drive, Franklin, TN, 37067",1566 West Mcewen Drive,Franklin,TN,37067,Williamson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1566+West+Mcewen+Drive,+Franklin,+TN,+37067,+USA/",POINT (-86.824936 35.934212)
19761993,Sprouts 580-Franklin-Groc,35.915436,-86.838509,"1010 Murfreesboro Rd Suite 194, Franklin, TN, 37064",1010 Murfreesboro Rd Suite 194,Franklin,TN,37064,Williamson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1010+Murfreesboro+Rd+Suite+194,+Franklin,+TN,+37064,+USA/",POINT (-86.838509 35.915436)
20059339,Sprouts Farmers Market - Franklin (580),35.915436,-86.838509,"1010 Murfreesboro Rd, Franklin, TN, 37064",1010 Murfreesboro Rd,Franklin,TN,37064,Williamson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1010+Murfreesboro+Rd,+Franklin,+TN,+37064,+USA/",POINT (-86.838509 35.915436)
20060934,Walmart Supercenter,35.939808,-86.82119,"3600 Mallory Ln, Franklin, TN, 37067",3600 Mallory Ln,Franklin,TN,37067,Williamson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3600+Mallory+Ln,+Franklin,+TN,+37067,+USA/",POINT (-86.82119 35.939808)
20059689,The Fresh Market (Memphis),35.108551,-89.890205,"835 S White Station Rd, Memphis, TN, 38117",835 S White Station Rd,Memphis,TN,38117,Shelby,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/835+S+White+Station+Rd,+Memphis,+TN,+38117,+USA/",POINT (-89.890205 35.108551)
20061158,Walmart Supercenter,35.772827,-86.919052,"4959 Main St, Spring Hill, TN, 37174",4959 Main St,Spring Hill,TN,37174,Williamson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/4959+Main+St,+Spring+Hill,+TN,+37174,+USA/",POINT (-86.919052 35.772827)
20052425,Publix #1426,36.170799,-86.684166,"2324 Lebanon Pike, Nashville, TN, 37214",2324 Lebanon Pike,Nashville,TN,37214,Davidson,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2324+Lebanon+Pike,+Nashville,+TN,+37214,+USA/",POINT (-86.684166 36.170799)
20050025,Ingles #00091 Natural,35.874969,-84.178162,"11817 Kingston Pike, Farragut, TN, 37922",11817 Kingston Pike,Farragut,TN,37922,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/11817+Kingston+Pike,+Farragut,+TN,+37922,+USA/",POINT (-84.178162 35.874969)
20054498,Three Rivers Market,35.981373,-83.92804,"1100 N Central Street, Knoxville, TN, 37917",1100 N Central Street,Knoxville,TN,37917,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1100+N+Central+Street,+Knoxville,+TN,+37917,+USA/",POINT (-83.92804 35.981373)
20050087,Ingles #00304 Natural,35.983353,-84.095016,"7466 Oak Ridge Hwy, Knoxville, TN, 37912",7466 Oak Ridge Hwy,Knoxville,TN,37912,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/7466+Oak+Ridge+Hwy,+Knoxville,+TN,+37912,+USA/",POINT (-84.095016 35.983353)
20055107,Cost Plus World Market - Knoxville,35.901436,-84.156998,"11241 Parkside Drive, Knoxville, TN, 37934",11241 Parkside Drive,Knoxville,TN,37934,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/11241+Parkside+Drive,+Knoxville,+TN,+37934,+USA/",POINT (-84.156998 35.901436)
20059779,Three Rivers Market,35.981373,-83.92804,"1100 N Central St, Knoxville, TN, 37917",1100 N Central St,Knoxville,TN,37917,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1100+N+Central+St,+Knoxville,+TN,+37917,+USA/",POINT (-83.92804 35.981373)
20061412,Walmart Supercenter,36.00523,-84.026817,"6777 Clinton Hwy, Knoxville, TN, 37912",6777 Clinton Hwy,Knoxville,TN,37912,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/6777+Clinton+Hwy,+Knoxville,+TN,+37912,+USA/",POINT (-84.026817 36.00523)
20059674,The Fresh Market (Knoxville),35.941704,-83.978493,"4475 Kingston Pike, Knoxville, TN, 37919",4475 Kingston Pike,Knoxville,TN,37919,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/4475+Kingston+Pike,+Knoxville,+TN,+37919,+USA/",POINT (-83.978493 35.941704)
20052418,Publix #1418,35.949928,-83.939522,"2429 University Commons, Knoxville, TN, 37916",2429 University Commons,Knoxville,TN,37916,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2429+University+Commons,+Knoxville,+TN,+37916,+USA/",POINT (-83.939522 35.949928)
20050089,Ingles #00305 Natural,36.083725,-83.929016,"7220 Norris Freeway, Knoxville, TN, 37918",7220 Norris Freeway,Knoxville,TN,37918,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/7220+Norris+Freeway,+Knoxville,+TN,+37918,+USA/",POINT (-83.929016 36.083725)
20050095,Ingles #00399 Natural,36.048969,-83.996124,"430 Emory Rd, Powell, TN, 37849",430 Emory Rd,Powell,TN,37849,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/430+Emory+Rd,+Powell,+TN,+37849,+USA/",POINT (-83.996124 36.048969)
20052415,Publix #1416,35.860485,-84.076721,"2010 Town Center Blvd, Knoxville, TN, 37922",2010 Town Center Blvd,Knoxville,TN,37922,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2010+Town+Center+Blvd,+Knoxville,+TN,+37922,+USA/",POINT (-84.076721 35.860485)
20051734,Nip - Grubb's Grocery Inc,35.61665,-88.819656,"4 Jackson Walk Plaza, Jackson, TN, 38301",4 Jackson Walk Plaza,Jackson,TN,38301,Madison,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/4+Jackson+Walk+Plaza,+Jackson,+TN,+38301,+USA/",POINT (-88.819656 35.61665)
20060519,Walmart Supercenter,35.550716,-88.810989,"2171 S Highland Ave, Jackson, TN, 38301",2171 S Highland Ave,Jackson,TN,38301,Madison,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2171+S+Highland+Ave,+Jackson,+TN,+38301,+USA/",POINT (-88.810989 35.550716)
20040612,Columbia Health Foods,35.614651,-87.034767,"109 West 7th Street, Columbia, TN, 38401",109 West 7th Street,Columbia,TN,38401,Maury,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/109+West+7th+Street,+Columbia,+TN,+38401,+USA/",POINT (-87.034767 35.614651)
20060284,Walmart Supercenter,36.580189,-87.412849,"1680 Fort Campbell B, Clarksville, TN, 37042",1680 Fort Campbell B,Clarksville,TN,37042,Montgomery,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1680+Fort+Campbell+B,+Clarksville,+TN,+37042,+USA/",POINT (-87.412849 36.580189)
20060786,Walmart Supercenter,36.594784,-87.291138,"3050 Wilma Rudolph B, Clarksville, TN, 37040",3050 Wilma Rudolph B,Clarksville,TN,37040,Montgomery,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3050+Wilma+Rudolph+B,+Clarksville,+TN,+37040,+USA/",POINT (-87.291138 36.594784)
20061510,Walmart Supercenter,36.145119,-85.497162,"768 S Jefferson Ave, Cookeville, TN, 38501",768 S Jefferson Ave,Cookeville,TN,38501,Putnam,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/768+S+Jefferson+Ave,+Cookeville,+TN,+38501,+USA/",POINT (-85.497162 36.145119)
20042013,Good Sheperd Health,36.160961,-85.513725,"201 S Willow Ave, Cookeville, TN, 38501",201 S Willow Ave,Cookeville,TN,38501,Putnam,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/201+S+Willow+Ave,+Cookeville,+TN,+38501,+USA/",POINT (-85.513725 36.160961)
20053920,Sprouts Frms Mkt 581 Bake,35.889114,-86.386528,"143 Wendellwood Circle, Murfreesboro, TN, 37129",143 Wendellwood Circle,Murfreesboro,TN,37129,Rutherford,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/143+Wendellwood+Circle,+Murfreesboro,+TN,+37129,+USA/",POINT (-86.386528 35.889114)
20059422,Sprouts Farmers Market - Mufreesboro (581),35.880367,-86.386688,"143 Wendelwood Drive, Murfreesboro, TN, 37129",143 Wendelwood Drive,Murfreesboro,TN,37129,Rutherford,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/143+Wendelwood+Drive,+Murfreesboro,+TN,+37129,+USA/",POINT (-86.386688 35.880367)
20060455,Walmart Supercenter,35.879086,-86.383156,"2012 Memorial Blvd, Murfreesboro, TN, 37129",2012 Memorial Blvd,Murfreesboro,TN,37129,Rutherford,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2012+Memorial+Blvd,+Murfreesboro,+TN,+37129,+USA/",POINT (-86.383156 35.879086)
20055108,Cost Plus World Market - Murfreesboro,35.859638,-86.444748,"2615 Medical Center Pkwy Unit 2400, Murfreesboro, TN, 37129",2615 Medical Center Pkwy Unit 2400,Murfreesboro,TN,37129,Rutherford,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2615+Medical+Center+Pkwy+Unit+2400,+Murfreesboro,+TN,+37129,+USA/",POINT (-86.444748 35.859638)
20058563,Grubbs Grocery,35.61665,-88.819656,"4 Jackson Walk Plaza, Jackson, TN, 38301",4 Jackson Walk Plaza,Jackson,TN,38301,Madison,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/4+Jackson+Walk+Plaza,+Jackson,+TN,+38301,+USA/",POINT (-88.819656 35.61665)
20058306,Earth Fare (Knoxville - 400),35.903152,-84.146439,"10903 Parkside Dr, Knoxville, TN, 37934",10903 Parkside Dr,Knoxville,TN,37934,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/10903+Parkside+Dr,+Knoxville,+TN,+37934,+USA/",POINT (-84.146439 35.903152)
20058307,Earth Fare (Knoxville - 405),35.942547,-83.981621,"140 N Forest Park Blvd, Knoxville, TN, 37919",140 N Forest Park Blvd,Knoxville,TN,37919,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/140+N+Forest+Park+Blvd,+Knoxville,+TN,+37919,+USA/",POINT (-83.981621 35.942547)
20059644,The Fresh Market (Farragut),35.880852,-84.165237,"11535 Kingston Pike, Knoxville, TN, 37934",11535 Kingston Pike,Knoxville,TN,37934,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/11535+Kingston+Pike,+Knoxville,+TN,+37934,+USA/",POINT (-84.165237 35.880852)
20059652,The Fresh Market (Germantown),35.062737,-89.750244,"9375 Poplar Ave, Germantown, TN, 38138",9375 Poplar Ave,Germantown,TN,38138,Shelby,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/9375+Poplar+Ave,+Germantown,+TN,+38138,+USA/",POINT (-89.750244 35.062737)
20040142,Abundant Living Org Foods,35.166805,-84.881973,"855 Keith Street -Nw, Cleveland, TN, 37311",855 Keith Street -Nw,Cleveland,TN,37311,Bradley,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/855+Keith+Street+-Nw,+Cleveland,+TN,+37311,+USA/",POINT (-84.881973 35.166805)
20051841,Ntr- Nutrition World,35.030357,-85.186333,"6201 Lee Hwy, Chattanooga, TN, 37421",6201 Lee Hwy,Chattanooga,TN,37421,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/6201+Lee+Hwy,+Chattanooga,+TN,+37421,+USA/",POINT (-85.186333 35.030357)
20059080,Nutrition World (Chattanooga Tn),35.030357,-85.186333,"6201 Lee Hwy, Chattanooga, TN, 37421",6201 Lee Hwy,Chattanooga,TN,37421,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/6201+Lee+Hwy,+Chattanooga,+TN,+37421,+USA/",POINT (-85.186333 35.030357)
20052414,Publix #1415,35.893566,-84.170059,"11656 Parkside Drive, Knoxville, TN, 37934",11656 Parkside Drive,Knoxville,TN,37934,Knox,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/11656+Parkside+Drive,+Knoxville,+TN,+37934,+USA/",POINT (-84.170059 35.893566)
20053526,Southern Sqweeze 1,35.04649,-85.307602,"818 Georgia Ave Ste 114, Chattanooga, TN, 37402",818 Georgia Ave Ste 114,Chattanooga,TN,37402,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/818+Georgia+Ave+Ste+114,+Chattanooga,+TN,+37402,+USA/",POINT (-85.307602 35.04649)
20059624,The Fresh Market (Chattanooga),35.037247,-85.149719,"2288 Gunbarrel Rd, Chattanooga, TN, 37421",2288 Gunbarrel Rd,Chattanooga,TN,37421,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2288+Gunbarrel+Rd,+Chattanooga,+TN,+37421,+USA/",POINT (-85.149719 35.037247)
20061180,Walmart Supercenter,35.094498,-85.331879,"501 Signal Mountain, Chattanooga, TN, 37405",501 Signal Mountain,Chattanooga,TN,37405,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/501+Signal+Mountain,+Chattanooga,+TN,+37405,+USA/",POINT (-85.331879 35.094498)
20040214,Apple Treee Natural Foods,35.771576,-83.98687,"729 Louisville Rd, Alcoa, TN, 37701",729 Louisville Rd,Alcoa,TN,37701,Blount,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/729+Louisville+Rd,+Alcoa,+TN,+37701,+USA/",POINT (-83.98687 35.771576)
20052321,Pruetts Market,35.13863,-85.328461,"1210 Taft Highway, Signal Mountain, TN, 37377",1210 Taft Highway,Signal Mountain,TN,37377,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1210+Taft+Highway,+Signal+Mountain,+TN,+37377,+USA/",POINT (-85.328461 35.13863)
20061556,Walmart Neighborhood Market,35.005371,-85.149155,"8101 East Brainerd R, Chattanooga, TN, 37421",8101 East Brainerd R,Chattanooga,TN,37421,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/8101+East+Brainerd+R,+Chattanooga,+TN,+37421,+USA/",POINT (-85.149155 35.005371)
20058299,Earth Fare (Hixson - 425),35.141388,-85.22963,"5414 Hixson Pike, Chattanooga, TN, 37343",5414 Hixson Pike,Chattanooga,TN,37343,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/5414+Hixson+Pike,+Chattanooga,+TN,+37343,+USA/",POINT (-85.22963 35.141388)
20058286,Earth Fare (Chattanooga - 420),35.023735,-85.15593,"1814 Gunbarrel Rd, Chattanooga, TN, 37421",1814 Gunbarrel Rd,Chattanooga,TN,37421,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1814+Gunbarrel+Rd,+Chattanooga,+TN,+37421,+USA/",POINT (-85.15593 35.023735)
20060460,Walmart Supercenter,35.031448,-85.150688,"2020 Gunbarrel Rd St, Chattanooga, TN, 37421",2020 Gunbarrel Rd St,Chattanooga,TN,37421,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2020+Gunbarrel+Rd+St,+Chattanooga,+TN,+37421,+USA/",POINT (-85.150688 35.031448)
20053528,Southern Sqweeze 2,35.069088,-85.288521,"1150 Hixson Pike Ste 8, Chattanooga, TN, 37405",1150 Hixson Pike Ste 8,Chattanooga,TN,37405,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1150+Hixson+Pike+Ste+8,+Chattanooga,+TN,+37405,+USA/",POINT (-85.288521 35.069088)
20039891,Whole Foods Market Chattanooga,35.063354,-85.314186,"301 Manufacturer's Rd, Chattanooga, TN, 37405",301 Manufacturer's Rd,Chattanooga,TN,37405,Hamilton,http://gingerpeople.com/find-a-store/,Ginger People,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/301+Manufacturer's+Rd,+Chattanooga,+TN,+37405,+USA/",POINT (-85.314186 35.063354)
2690210,Godiva Chocolatier The Mall At Green Hills,36.1072619,-86.8151734,"2126 Abbott Martin Rd, Nashville, TN, 37215",2126 Abbott Martin Rd,Nashville,TN,37215,Davidson,https://stores.godiva.com/us/tn/nashville/2126-abbott-martin-rd.html,Godiva Chocolatier,Food Chains,Possibly Closed,"https://www.google.com/maps/dir/Current+Location/2126+Abbott+Martin+Rd,+Nashville,+TN,+37215,+USA/",POINT (-86.8151734 36.1072619)
694,"Golden Corral 694, Kingsport, Tn",36.5444122,-82.5196407,"North Eastman Road, Kingsport, TN, 37664",North Eastman Road,Kingsport,TN,37664,Sullivan,https://www.goldencorral.com/locations/location-detail/694/golden-corral-north-eastman-road/,Golden Corral,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/North+Eastman+Road,+Kingsport,+TN,+37664,+USA/",POINT (-82.5196407 36.5444122)
904,"Golden Corral 904, Johnson City, Tn",36.3597678,-82.3937036,"Browns MIll Road, Johnson City, TN, 37604",Browns MIll Road,Johnson City,TN,37604,Washington,https://www.goldencorral.com/locations/location-detail/904/golden-corral-browns-mill-road/,Golden Corral,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/Browns+MIll+Road,+Johnson+City,+TN,+37604,+USA/",POINT (-82.3937036 36.3597678)
676,"Golden Corral 676, Cookeville, Tn",36.1375502,-85.509964,"Interstate Drive, Cookeville, TN, 38501",Interstate Drive,Cookeville,TN,38501,Putnam,https://www.goldencorral.com/locations/location-detail/676/golden-corral-interstate-drive/,Golden Corral,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/Interstate+Drive,+Cookeville,+TN,+38501,+USA/",POINT (-85.509964 36.1375502)
2562,"Golden Corral 2562, Hermitage, Tn",36.1909029,-86.6134754,"Old Lebanon Dirt Rd, Hermitage, TN, 37076",Old Lebanon Dirt Rd,Hermitage,TN,37076,Davidson,https://www.goldencorral.com/locations/location-detail/2562/golden-corral-old-lebanon-dirt-rd/,Golden Corral,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/Old+Lebanon+Dirt+Rd,+Hermitage,+TN,+37076,+USA/",POINT (-86.6134754 36.1909029)
804,"Golden Corral 804, Sevierville, Tn",35.8759202,-83.5704231,"Winfield Dunn Parkway, Sevierville, TN, 37876",Winfield Dunn Parkway,Sevierville,TN,37876,Sevier,https://www.goldencorral.com/locations/location-detail/804/golden-corral-winfield-dunn-parkway/,Golden Corral,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/Winfield+Dunn+Parkway,+Sevierville,+TN,+37876,+USA/",POINT (-83.5704231 35.8759202)
