Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Provider,Category,Population,Fast Food Density, Adults with Obesity
179476,Waffle House #2035,35.767473,-86.917767,"2106 Wall Street, Spring Hill, TN, 37174",2106 Wall Street,Spring Hill,TN,37174,Williamson,Waffle House,Food Chains,255735.0,0.0009345611668328544,22.5
179573,Waffle House #320,36.12992486,-86.90143255,"6930 Charlotte Pike, Nashville, TN, 37209",6930 Charlotte Pike,Nashville,TN,37209,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179572,Waffle House #2129,36.192279,-86.829767,"3103 Clarksville, Nashville, TN, 37218",3103 Clarksville,Nashville,TN,37218,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179649,Waffle House #931,36.13903975,-85.52783369,"1079 S Willow Ave, Cookeville, TN, 38501",1079 S Willow Ave,Cookeville,TN,38501,Putnam,Waffle House,Food Chains,81188.0,0.0011947578459870916,28.3
179571,Waffle House #2071,36.16939,-86.673397,"2625 Lebanon Pike, Nashville, TN, 37214",2625 Lebanon Pike,Nashville,TN,37214,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179810,Waffle House #2283,35.945115,-86.819468,"3048 Mallory Lane, Franklin, TN, 37067",3048 Mallory Lane,Franklin,TN,37067,Williamson,Waffle House,Food Chains,255735.0,0.0009345611668328544,22.5
178135,Waffle House #1183,36.04097,-86.77945,"790 Old Hickory Blvd, Brentwood, TN, 37027",790 Old Hickory Blvd,Brentwood,TN,37027,Williamson,Waffle House,Food Chains,255735.0,0.0009345611668328544,22.5
179830,Waffle House #766,36.0134347,-83.9690691,"119a Cedar Lane, Knoxville, TN, 37912",119a Cedar Lane,Knoxville,TN,37912,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079,29.1
179849,Waffle House #2215,35.81918,-86.396186,"1928 South Church St, Murfreesboro, TN, 37130",1928 South Church St,Murfreesboro,TN,37130,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654,33.3
179570,Waffle House #2012,36.083631,-86.727829,"4021 Nolensville, Nashville, TN, 37211",4021 Nolensville,Nashville,TN,37211,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
178574,Waffle House #1218,35.974142,-86.49277,"794 Nissan Dr, Smyrna, TN, 37167",794 Nissan Dr,Smyrna,TN,37167,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654,33.3
178409,Waffle House #1277,35.20543144,-89.792194,"2931 Germantown Rd, Memphis, TN, 38134",2931 Germantown Rd,Memphis,TN,38134,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967,34.9
179823,Waffle House #2162,36.3512,-82.3801,"2600 North Roan St, Johnson City, TN, 37601",2600 North Roan St,Johnson City,TN,37601,Washington,Waffle House,Food Chains,134236.0,0.0009386453708394171,33.9
179584,Waffle House #950,36.13525924,-86.72421646,"816 Murfreesboro Rd, Nashville, TN, 37217",816 Murfreesboro Rd,Nashville,TN,37217,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
178136,Waffle House #1713,36.541213,-87.367798,"734 N Riverside Dr, Clarksville, TN, 37040",734 N Riverside Dr,Clarksville,TN,37040,Montgomery,Waffle House,Food Chains,227900.0,0.0007591048705572619,36.2
179464,Waffle House #641,35.061556,-85.133051,"7705 Lee Highway, Chattanooga, TN, 37421",7705 Lee Highway,Chattanooga,TN,37421,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192,31.2
178568,Waffle House #1121,36.31315835,-82.38820747,"510 North State Of, Johnson City, TN, 37604",510 North State Of,Johnson City,TN,37604,Washington,Waffle House,Food Chains,134236.0,0.0009386453708394171,33.9
178580,Waffle House #128,36.54725625,-82.51704533,"1668 E Stone Drive, Kingsport, TN, 37660",1668 E Stone Drive,Kingsport,TN,37660,Sullivan,Waffle House,Food Chains,159265.0,0.0009606630458669514,33.3
178133,Waffle House #2169,36.0517,-86.6454,"790 Bell Road, Antioch, TN, 37013",790 Bell Road,Antioch,TN,37013,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179581,Waffle House #834,36.21577351,-86.68897951,"2727 Mcgavock Pike, Nashville, TN, 37214",2727 Mcgavock Pike,Nashville,TN,37214,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179503,Waffle House #2018,35.871899,-83.568172,"256 Winfield Dunn, Sevierville, TN, 37876",256 Winfield Dunn,Sevierville,TN,37876,Sevier,Waffle House,Food Chains,99517.0,0.0014871830943456897,44.0
179840,Waffle House #2258,35.04948,-89.828796,"7125 Winchester Road, Memphis, TN, 38125",7125 Winchester Road,Memphis,TN,38125,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967,34.9
179829,Waffle House #447,36.00946423,-83.84391202,"5416 Asheville Hwy, Knoxville, TN, 37914",5416 Asheville Hwy,Knoxville,TN,37914,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079,29.1
178983,Waffle House #1329,35.64285724,-86.89473213,"1593 Bear Creek Road, Columbia, TN, 38401",1593 Bear Creek Road,Columbia,TN,38401,Maury,Waffle House,Food Chains,104760.0,0.0005536464299350897,31.9
179580,Waffle House #802,36.15400811,-86.62556121,"707 Stewarts Ferry, Nashville, TN, 37214",707 Stewarts Ferry,Nashville,TN,37214,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
221914,Waffle House #2401,35.008878,-85.15292,"7801 E Brainerd Rd, Chattanooga, TN, 37421",7801 E Brainerd Rd,Chattanooga,TN,37421,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192,31.2
178411,Waffle House #102,35.82481,-83.97739,"3009 Alcoa Hwy, Alcoa, TN, 37701",3009 Alcoa Hwy,Alcoa,TN,37701,Blount,Waffle House,Food Chains,137605.0,0.0006976490679844482,35.9
178992,Waffle House #401,35.012846,-85.227637,"4903 Brainard Road, Chattanooga, TN, 37411",4903 Brainard Road,Chattanooga,TN,37411,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192,31.2
178137,Waffle House #794,36.59492755,-87.28780952,"3069 Wilma Rudolph, Clarksville, TN, 37040",3069 Wilma Rudolph,Clarksville,TN,37040,Montgomery,Waffle House,Food Chains,227900.0,0.0007591048705572619,36.2
178982,Waffle House #1313,35.188251,-89.792284,"8135 Varnavas Rd, Cordova, TN, 38016",8135 Varnavas Rd,Cordova,TN,38016,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967,34.9
178985,Waffle House #1373,36.3822901,-86.46064629,"644 Nashville Pike, Gallatin, TN, 37066",644 Nashville Pike,Gallatin,TN,37066,Sumner,Waffle House,Food Chains,200557.0,0.0007080281416255728,27.2
179827,Waffle House #293,35.937906,-84.008243,"6230 Papermill Rd, Knoxville, TN, 37919",6230 Papermill Rd,Knoxville,TN,37919,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079,29.1
178579,Waffle House #1238,36.374394,-82.427909,"2693 Boones Creek Rd, Johnson City, TN, 37615",2693 Boones Creek Rd,Johnson City,TN,37615,Washington,Waffle House,Food Chains,134236.0,0.0009386453708394171,33.9
178576,Waffle House #1232,35.22465842,-89.73745003,"3640 Canada Rd, Arlington, TN, 38002",3640 Canada Rd,Arlington,TN,38002,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967,34.9
179843,Waffle House #817,35.075448,-89.920604,"4314 American Way, Memphis, TN, 38118",4314 American Way,Memphis,TN,38118,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967,34.9
179824,Waffle House #160,36.078788,-83.926886,"7102 Maynardsville, Knoxville, TN, 37918",7102 Maynardsville,Knoxville,TN,37918,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079,29.1
178570,Waffle House #1188,35.139765,-85.247871,"5466 Hwy 153, Hixson, TN, 37343",5466 Hwy 153,Hixson,TN,37343,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192,31.2
179820,Waffle House #496,35.66045864,-88.85456612,"24 Casey Jones Lane, Jackson, TN, 38305",24 Casey Jones Lane,Jackson,TN,38305,Madison,Waffle House,Food Chains,98775.0,0.0012655024044545685,40.2
178980,Waffle House #1292,36.00653408,-84.25522602,"326 S Illinois St, Oak Ridge, TN, 37830",326 S Illinois St,Oak Ridge,TN,37830,Anderson,Waffle House,Food Chains,77576.0,0.0009023409301845932,33.5
179832,Waffle House #452,35.998654,-86.597645,"108 Enterprise Blvd, La Vergne, TN, 37086",108 Enterprise Blvd,La Vergne,TN,37086,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654,33.3
179463,Waffle House #626,35.017274,-85.38216,"28 Birmingham Hwy, Chattanooga, TN, 37419",28 Birmingham Hwy,Chattanooga,TN,37419,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192,31.2
179846,Waffle House #528,35.8482,-86.431364,"2210 Armory Dr, Murfreesboro, TN, 37129",2210 Armory Dr,Murfreesboro,TN,37129,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654,33.3
178134,Waffle House #2267,36.051874,-86.615689,"3571 Murfreesboro Pk, Antioch, TN, 37013",3571 Murfreesboro Pk,Antioch,TN,37013,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
178086,Waffle House #1012,36.18035,-82.77552,"2761 E Andrew, Greeneville, TN, 37745",2761 E Andrew,Greeneville,TN,37745,Greene,Waffle House,Food Chains,70621.0,0.0007363248891972642,37.6
179582,Waffle House #843,36.14446975,-86.66697264,"556 Donelson Pike, Nashville, TN, 37214",556 Donelson Pike,Nashville,TN,37214,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
178573,Waffle House #1216,35.807403,-86.397144,"2477 S Church St, Murfreesboro, TN, 37127",2477 S Church St,Murfreesboro,TN,37127,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654,33.3
179812,Waffle House #472,36.324565,-86.70114,"941 Conference Dr, Goodlettsville, TN, 37072",941 Conference Dr,Goodlettsville,TN,37072,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179819,Waffle House #303,35.666728,-88.828974,"2314 N Highland Ave, Jackson, TN, 38305",2314 N Highland Ave,Jackson,TN,38305,Madison,Waffle House,Food Chains,98775.0,0.0012655024044545685,40.2
178989,Waffle House #263,35.08402824,-85.31797613,"102 Signal Mtn Rd, Chattanooga, TN, 37405",102 Signal Mtn Rd,Chattanooga,TN,37405,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192,31.2
